comments,star
这世界就是有装病的大夫 看戏的护士 姓付的正总和姓郑的副总 也有卖房把你送上天堂的母亲 上去了就下不来 有拿刀架在你脖子上的兄弟 架上了就还不清 这世界就是有人生在天上 有人生在泥地 有人爱一个还不满足 有人丢了书包以为是爱情 当我们把脚陷入谎言的垃圾桶 至少应该学着勇敢拔出来 ,3
除了真实且微妙地展示这个社会的龃龉外 更令人惊喜的是这部电影里对影像化的尝试 莫默与孙同在眼镜店里隔着展柜对话的那场戏 镜子用的真妙啊 ,4
1你就是个普通的实习生 领导连你送的礼都不想收  但只要你有一个有背景的哥们儿 领导就会反过来请你吃饭  没有触犯他的利益的时候 你就是他好哥们儿  要是触犯了他的利益 你就只是一条狗  很多时候我们被逼无奈只能做一条狗 但做狗做久了 还是想做一回人  2女人都是福尔摩斯 你以为一切都天衣无缝 但总会露出破绽的  要想不被发现出轨 唯一的办法就是不要出轨  3父母总是喜欢催婚 总是问你有没有喜欢的人  喜欢有个屁用  因为不是你在谈恋爱 是你父母在谈恋爱  你喜不喜欢是次要的 关键是你父母喜不喜欢  4 你想要的我全都满足你了    是我想要的吗 房子是我住吗 都是你自己做的决定 不要埋怨我   叫你要有骨气的是她 叫你不要招惹多多的是她 事后推卸责任的还是她  听父母的话有什么用 听从自己的内心才是正解 ,3
出乎意料 这部竟然是开心麻花电影里迄今最让我喜欢的 从第一场戏开始 戏点就密密麻麻地涌上来 无巧不成书 三个主角间的关系拉扯被处理得非常鲜明 就在你以为它朝着一部爱情喜剧的方向发展时 片如其名 是 半部喜剧  原来前半部皆为伏笔 完成铺垫后火速扭转为对一个个社会痛点的精准打击 轻巧却又有力 一个年轻人 要如何在城市里有尊严地活下去 扎下根 这不是小问题 而是我们大多数人都要面对的时代症候 ,4
贺岁档最佳 开心麻花系列最佳  虽是闹剧开场 却没有一味地停留在闹腾 从约会中看音乐节逛宜家 到和恋人和父母争吵的对话 处处充盈着真实 再放置到阶级差异的现实背景下 更突显剧作的深度 嬉笑怒骂过后依旧动人 源自对生活的洞察和创作的真诚  男二演得太他妈好了 PUA本A 渣成这样都让人觉得有魅力 ,4
全片的核心喜剧技巧是错位 很小品 还真就请来了海燕  影片有意在做强化 来了一连串的误会 并不断推动人物关系的展开 调度也都是舞台范儿的 比较精彩的一笔是眼镜店 以我之身配你之首 的正反打段落 真正提升电影品质的是后面现实部分的讨论 郑多多是世故现实 莫默是理想主义 孙同是夹在两个极端之间的大多数 开头还挺猛的 现实诱奸了理想主义 而从后续剧情看 影片呈现了华语片维度里比较健康的性观念 再值得肯定的是它的 冒犯性  你臣服于现实 现实就有借口堵你的嘴 直至你敢于向它挥拳 高璐漂亮 ,3
A 选择好基友 有工作 可升职加薪 有北京户口 老妈把东北老家的房子卖了 给他在北京买房付首付 跟基友老婆的表姐结婚 走上人生巅峰 B 选择北京女人任素汐 房子现成的 北京户口早晚的事 老妈不用再卖老家的房子了 他有了爱情 还可以追求唱歌的音乐梦想 走上人生巅峰 连医院里看热闹的路人都知道怎么选 那编剧这么折腾半天 男主角的选择有什么真正的风险和困难吗 反正他横竖都是拥有北京户口走上人生巅峰啊 如果让任素汐的角色没有北京户口 一样是外地人 那才是真的挑战 真的难选 需要男主角纠结 选择了一个外地女人就是一无所有从零开始 原来编剧折腾了那么久 套用loser做自己的戏码就是为了给渣男洗白啊 医院那场戏反正是救不回来了 其实还是开心麻花那种三观有点清奇的喜剧 越想越不舒服 ,2
 奇葩说 辩题 刚交往的喜欢的女朋友和争取许久的北京户口 工作 我要选择哪个  ,3
视听语言比 驴得水 进步了 更有电影感 生活从来就不公平 它艰难又残忍 而爱情大概是生活里唯一的公平 无论你贫穷还是富有 都有恋爱的资格 也都有受情伤的可能 太喜欢影片里谈恋爱的段落了 金风玉露一相逢 从此君王不早朝 啊 感受到了久违的心动 夏天很热 爱要趁热 冬天太冷 爱不会冷 ,5
特别好 表面上从朋友出轨该不该为他掩护的问题 贯穿到人到底是做人还是做狗的问题 又落实到所谓的社会阶级鸿沟 结局没有令人失望 那段 你天上我地下 的对话相当精彩 最后却也像她坚持的那样 天外有天 谁都想好 但就是有人不会选择成为恶 真的挺好的 充满阳光和希望的结局 短小精悍的思修教育课堂 ,5
1 开心麻花系列最佳 真诚落地 言之有物的时代喜剧 两室一厅一厨房一浴室 开篇在极简的空间中将人物身份关系的错位发挥到极致 爆笑 甜宠 扎心 三段风格的转变自然轻巧 当人物的阶级属性被一点点撕开 夸张的 戏剧 真正成为 现实 的投射 依然有表意过于直白的问题 但扎实的人物支撑足以掩盖缺陷 男主角太可爱了我可以 Ps 终于把彭磊的歌用对了地方我甚感欣慰  2 有PUA 有城乡鄙视链 有性别权力的倾轧 但为什么是半个喜剧 恰恰是非喜剧的另一半在尝试非口号化的催人深省 如果要在喜剧电影中挑Stereotype的刺 那这个世界就不存在喜剧了 现实世界明明那么多偏见 为什么置放在电影中就要承受道德的鞭笞  婚姻故事 难道没有对性别的刻板印象  喜剧之王 的柳飘飘难道没有 百姓无粟米充饥 何不食肉糜 ,4
