comments,star
又尬又假 ,1
骨子里还是囧系列那种公路喜剧片 这次用母子关系制造一系列的笑点 代入感非常好 果然是 同一个世界 同一个妈妈  从创作的心态上讲 我一直很喜欢徐峥 愿意走出创作的舒适区 去做点不一样的尝试 讲和上一辈人亲情的故事 讲中国家庭亲子关系的和解 从编剧技巧上看 徐峥还是那个最懂类型片技巧的人 他一开始就用对白铺垫的那些细节 每一次用都在强化电影的节奏 划分剧作的大框架 让电影的主题表达更进一步 这个剧本有一个非常好的故事框架 在K3火车上和老妈互虐的六天六夜 一路去往莫斯科 所有的冲突和解都要在这个固定的时间内完成 夫妻和母子两条线彼此关照互为镜像 很喜欢最后夫妻线的处理 与时俱进不落俗套 ,4
后半段垮的妈都不认识,3
有点理解为啥首映卖竖屏视媒了 毕竟这部可以算是系列最差了 真的线下上映会被同期打得非常惨痛 卖给专业视频平台还要通过收点播费啥的才能回本 但给了竖屏就等于给了流量 你点一下 我点一下 人均成本降低 这人数可是指数型增长 影片植入渐多 无用配角疯狂添加 造成主线故事 即母子关系与夫妻关系完全破碎割裂 过渡僵硬 一个简单故事展现成了超长扁平叙事结构 令关系发生转折的故事设定怕不是把自己当成了英雄 对我说的是那只熊 对我说的是背妈奔跑横穿带有多条裂纹的冰面 多哥都没你能 对我说的是这电影时长我看了一眼咯噔了一下  基于这所有 彻头彻尾体会了导演和商人的本质不同 ,3
很平庸 很无趣 既不好笑 对于原生家庭的探讨也只是隔靴搔痒而已 ,3
平庸的电影 多亏找到人接盘了 如果真上映估计得亏 ,3
7 2分 囧妈 首映礼 有深度有温度 管虎导演说到徐峥导演在不失囧事的前提下 做出更有深意的展现 洽也是当下需要的 不是一味的娱乐 更促进家庭和谐 都夸徐峥成长了 那是必须的 金马影帝呢  囧妈 与系列前作大有不同 更接近 药神  而且有欢笑有泪水 有痛楚有温暖 值得嘉奖 黄梅莹老师扮演的囧妈 其实并不囧 很真实 超一流的棒 中年男子徐伊万 才是囧 贾冰插科打诨并不突兀 囧图中的调剂品 袁泉在纽约走来走去太美了 欧丽娅在车厢里搬箱子的桥段超绝 唐季礼导演说徐峥这一定是本色演出 都表现很棒 K3也是很有吸引力 再有些美景就更完美了 冰上背着妈妈奔跑那段即温暖 又很美 相信徐峥未来在导演奖项上一定大有作为 ,4
我讨厌这部电影 甚至作呕 强行灌鸡汤 强行要把所谓的黑暗面撕出来 然后结尾强行煽情和解 没有人没和解 只是徐峥自己没和解吧 ,2
它是中国影史投资最大的网络电影,1
这种强迫煽情的拍法跟春晚小品最后万年不变的 拔高度 套路没什么分别 注定大多数人不喜欢 现在赚个吆喝 提升下股价已经很好了 线下上映估计跟 攀登者 差不多下场 可能更差 2 5,3
