comments,star
哇 开分这么低的吗 其实还好啦 我是不停在笑的 虽然情感线垮掉 哈哈哈哈,4
找沈腾马丽魏翔这种喜剧演员来客串是双刃剑 好比婚礼找比自己帅的人来当伴郎一样 尴尬的只能是自己 ,3
请常远认清爷爷当年对他的评价 无才,2
刚看了超前点映 喜剧演员和演员有壁 没有高低之分的意思  全片最不和谐的那个音符就是女主角 不客气的说 她演喜剧表演还没入门 小花演法 没有喜剧节奏 在远儿和一众优秀的喜剧亲朋好友们中显得那么格格不入 这样一个不能深究故事 看包袱乐呵就行的电影 笑果格外重要 从魏翔 张一鸣 田雨 王智 沈马 艾伦 乔杉 黄才伦 成思 子栋 每位都奉献了不输欢乐喜剧人的表演 但这让影片更像是个集锦 常远作为导演 镜头语言乏善可陈 群众表演的调教还停留在电视剧阶段 看得出和大魔 宋阳之间有着不小的差距 不知道冷老师参与多少编剧工作 包袱够了 故事上结构上两位还需要打磨啊 王为仁工具化就算了还那么生硬 令人尴尬的拿起手机 最后 沈腾的戏份10分钟左右 比预告片多一点点 冲着他来的考虑一下吧 ,3
特别好 但是所有人都请了 唯独没请张扬 看来二人不合的传闻实锤了 狗头 ,4
虽然热评第一讲的很有道理 但是我看了其他影评 觉得不应该对这部电影这么苛刻 毕竟它是喜剧片 不是纪录片 我是抑郁症和焦虑症患者 我看完几个预告片之后 笑了好几次 所以我想创作者的初衷就是安慰和治愈吧 当然只能治标不能治本 如果电影最后能打出字幕 请强迫症患者到正规医院就诊 之类的话 就好了 梗挺多的 开心麻花团队也是藏龙卧虎 灵车驾驶员送他们回家时说 以后有事尽管找我 没想到是个伏笔 最后他们去参加比赛 张子栋说走路二十公里会累死 镜头推远 我就猜灵车要来了 果然魏翔飞驰而来 常远还说 我是那种没有计划的人吗  要不是男主一直留着小熊 小熊的塑料袋年久破损 他就不会发现父母写的信 也不会知道如果当年他没有扔掉小熊造成父亲车祸身亡 母亲抑郁而终 他的父母也是准备要改变的  更多介绍看长评 ,4
温馨漫画式小品 还不错 最后还有点想哭 可以,4
花钱买票看这部电影 成为2020年最后一件倒霉的事 ,2
用一部电影来强调了 美沁治愈一切 这个简单事实 ,3
无笑点 无泪点 无意义 这电影是为了开心麻花团建吗 常远还是踏实当个配角吧 导演不是谁都能干的,2
新年院线看的第一部电影 看完我这没有强迫症的人都有点强迫症的征兆   感觉做了一场梦 看到最后我竟然哭了 还是有感动的地方 而且在影院看笑果特别好 笑点比较多 常远依然是阴柔的美男子人设 早在几年前参加 欢乐喜剧人 的时候 有人就说他的作品尽跟女孩子谈恋爱 所以我也料到了这部电影里的他也肯定是这样哒 李沁比 西虹市首富 里的宋芸桦更没那么违和 ,4
全片只有沈腾马丽能看  李沁的演技真的脱离了古偶越来越暴露尴尬感 明明之前白鹿原演的挺好的怎么演技越来越回去了 那种模式化表演看得我只想说 喜剧对演员的要求真的很高 你还是别勉强自己了 但是本片质量真的就那样 只有沈腾马丽令人觉得惊喜,3
温暖的麻花系 比西红柿强一些,5
喜剧 歌舞两不搭噶 在客串出场的沈腾 马丽寥寥数语便轻松营造的喜感反衬下 常远仅限于对称浅表的强迫症理解 李沁任张牙舞爪都蹭不到一丝合格边缘的喜剧演出 及完全与杜琪峰生涯至烂作 我的拳王男友 雷同的俗烂主线剧情 无疑为努力不敌天赋论提供着强有力的支撑 可悲的是 声音条件糟糕却执意原声献唱烂芭乐的两位主角 大概从未意识到残酷现实下自身天赋的有限 ,2
前半段确实蛮不错的 常远以夸张的姿态塑造了一个极为漫画式的强迫症患者 同时也将该群体的孤独感通过一种黑色幽默的方式展现出来 作为处女作 值得肯定 后半段开始谈恋爱和比赛逆袭式的展开就陷入了比较乏味的套路当中 整体可看,3
大体上都还挺不错 但是王为仁找鲍抱让他退赛那我不懂到底有啥说服力 扣一分 其他的我觉得它作为一个风格奇幻无厘头背景不重要的电影 浮夸点什么的都无所谓 不讨人厌 其实还挺细致 浮夸只有在笑点包袱质量不行的时候才算缺点 ,4
看到电影字幕 的地得 不分时 我的强迫症比男主角还要严重 ,3
