comments,star
即便再多人不喜欢 仍然被其中多场戏打动 这其实从来不是一个成功者的故事 就好像她们在最后的舞蹈跳得也很一般一样 她们无法成功 但是 总要有证明自己的勇气 哪怕最后失败了 而影片最后也并没有给她们希望或是造梦 她们并没有通过跳舞获得更好的成绩和认同 这个处理 还是挺难得的 ,3
差不多是想要拍一个中国版渡边直美的励志故事 但又飞扬跋扈想考北舞附中  一段夸张走形的校园女子黑道风云 又打LGBT擦边球  一个生吞苍蝇的恶意剥削结尾 还搞什么我是歌手综艺真人秀  枉顾智商 逻辑尽丧的生搬硬造 最后就像挂主角身上那绿油油的痔疮广告  没见过这么自甘堕落的植入玩意 还有那大小象 敢再假一些吗 所谓的情怀 加油 站起来 真应了一句话 没有贩卖 就没有伤害 ,1
看预告片就觉得电影会分两极  果然 只要关于贩卖梦想 就会有废梦派和挺梦派 还会出现逻辑派和情绪派  关于我们当下的梦想 我们总有很多话要说 每个人也都有自己的一杆秤   跳舞吧大象 这碗鸡汤 喝起来其实还算流畅 可能我在里面看到了自己的落魄  PS 国产片真的好喜欢强煽呀 ,3
又双叒叕是那种屌丝逆袭的励志片 鸡汤 说教 讲大道理  表面上很励志 实际上不会给你带来任何帮助  恰恰相反 这种电影看得越多 越容易变得异想天开 整天用心灵鸡汤自我催眠  初赛那段就充分体现了她们不脚踏实地练舞 只知道给自己加戏  不刻苦训练 导致跳得很差 评委都没眼看了 结果她靠赖着不走成功晋级了决赛  果然 跳舞改变不了命运 不择手段才可以   这么做和那些基本功不过关只知道讲故事卖惨博同情的人有什么区别  你要是踏踏实实练好基本功就不会被淘汰 哪用得着想方设法强行上场   这本来就不是你的身体 不小心暴露了剧组对胖子的真实看法   我们是伟大的友谊 又不小心暴露了打LGBT的擦边球的本质  最搞笑的是女主父亲又不同意把大象安乐死 又要骗她说大象已经死了 美其名曰不想让她伤心 典型的又当又立 ,2
艾伦独舞那里 还有点小感动 以为要是另一部 立春 了 只是整体拍的还是稍欠火候 小时候谁的县城里没一个艺术团男舞蹈啊 被打断的 莫妮卡  白闪闪的羽毛披肩只能成为偏见里的折翼天使  反正我妈也说了 方圆十里之内 没有比你更娘的了  哈哈哈  每一个被生活揍趴下的人 都有赢一次的权利 李泰延演的真人秀制作人几个镜头还以为胡歌客串了 舞蹈部分选曲张国荣的 莫妮卡 太加分 LGBT的潜剧情加分 最后的 师哥 师弟  竟感受到了周星驰式的幽默 生活就是一边开着我们的玩笑 一边让我们继续前行 献给所有笨拙而沉重地活着的人 ,3
几乎是开心麻花边角料水平的笑料再加上廉价的感人桥段 故事胡闹到令人作呕 也难以置信台湾导演能将本土化做到如此低级 打着励志和lgbt的面子 实际上是消费胖子 碰瓷lgbt的里子 点映主创见面会上 主持人问大家电影好看吗 全场小孩喊着 好看  而所有成年人鸦雀无声甚至冷笑 ,1
不要再消费胖子了 真的  而更可悲的是 女演员明明知自己是被特意挑选出来的 特型演员  是电影中利用和被奇观化的观看的 怪物  她还是安之若素卖力演出疯癫状 乐于被消费 被打量 片中那句台词 现在的你已经长残了  真的没打击到演员本人吗    深深怀疑,2
想学 阳光姐妹淘 不遂 熬成悬浮的人造鸡汤 ,2
hmmmmm萌萌快站起来 ,3
今天看的映后见面会场 见到了导演林育贤 艾伦 金春花 宋楠惜 很开心 但是电影真的很low 让我怀疑 翻滚吧 阿信 都不是导演拍的 ,2
开心麻花暑假预定 七月观影第三弹 从羞羞的铁拳开始 艾伦的能量已经开始辐射至多个喜剧电影 再到 跳舞吧 大象 他已经全然发挥他的个人喜剧天赋 带动电影的节奏 爆笑不断 而电影中有关重拾梦想 尊重自我人生的内核也极为符合当下青年人纠结困扰的境况 导演还是观察到现下大环境里各种人的生存态度 喜剧的外皮下 爆笑的氛围里 却更见艰辛与不易 ,4
暑期档意外惊喜 以为是那种吵吵闹闹的喜剧去看的结果电影竟然有些高级 歌舞编排非常有水准 故事的奋斗内核够燃 特别是那个 伟大的友谊 丝毫不做作 不愧是湾湾导演,4
改用片中一句台詞 好歹也是個拍電影的 這真的不是在侮辱大屏幕麼 業內人士買不買賬不知道 普通觀眾也分得清搞笑和惡俗 知道什麼劇情是好壞 什麼台詞夠走心 或許很多觀眾會因為它打的點觸及了自己曾經的某個回憶而落淚 或許很多喜歡艾倫喜歡開心麻花的人因為喜歡而喜歡 但是 我不是藥神 不是靠煽情成功的 開心麻花以及艾倫也不止只有這點浮於表面的能耐 最不喜歡此片的點可能在於對同性戀的 討好 那塊吧 最後呈現的那種矯情和惡心真的不是在做惡在大家面前的形象麼 真正的同性戀男生沒有那麼浮誇也沒有那麼扭捏 他們如男女戀人一樣正常的愛著 活著 努力著 最後 心疼其實沒有也不耽誤整個劇情發展還浪費好多特效錢的大象  ,1
如果极致一些 拍成歌舞片 其实会很有趣 为这片子能这么直面LGBT鼓掌 可是爱情只能变 伟大的友谊 想来是当下的荒唐 都让做自己 最后不得自己 反而不如 西虹市首富 的 二奶奶 ,2
上半部分艾伦确定不是在演手工耿 ,2
这是张国荣和春夏被黑得最惨的一次 四小天鹅倒不是 因为还有炅炅 栀子花开 垫底  13岁少女说话真没那么幼稚 反而更接近31岁的妈宝   恨死你们这些瘦子了   编剧都知道因病而胖的人设立不住  配角里有个瘦子很灵动 悄悄抄下她的名字,1
