comments,star
说句政治不正确的话 除了犹太人 我想看看二战其他视角 ,4
一个从小被洗脑的男孩 偶然之下发现整个世界都是一个谎言  犹太人就站在秘密警察面前 秘密警察居然认不出来  那一刻 他对身边的一切产生了怀疑  也许他狂热追随的纳粹并不是正义的化身 也许人们口中邪恶扭曲的犹太人和其它人没什么区别  然而最难的不是被蒙在鼓里 而是知道真相后的抉择  你可以随波逐流 假装什么都没发生 也可以逆流而上 和黑暗抗争到底  正如母亲和克伦森多队长在时代洪流中保持清醒 没有迷失自我  有一分热 发一分光 就令萤火一般 也可以在黑暗里发一点光 不必等候炬火  他终于自我意识觉醒 从前辈手中接过责任和担当的接力棒 和过去的自己挥手告别 投入自由的怀抱  要跳舞 不要战争 ,4
这可能是今年最催人泪下的喜剧 杰出的喜剧 永远拥有一个悲伤的内核 杰出的悲剧 永远拥有让你泪中带笑的魔力 从孩子的视角出发并不是什么新奇的路数 但这部电影依然用这个方法 搭配孩童般的笑点 浑然天成地将战争描绘的如此逼真 将爱描绘的如此动人 ,5
除了Taika牛逼以外不知道该说什么  又hilarious又sad 无谓战争中希望与光芒 斯嘉丽和那个教官的角色太棒了 后小半段眼泪哗啦啦 ,5
当 美丽人生 遇见 月升王国  又温暖又悲伤的反战童话 前半段色彩斑斓得就像韦斯 安德森附体 后半段温柔撕开糖衣包裹的真实世界 不但有影史最人畜无害的希特勒 还有最让人心塞的寡妇姐 做一只乔乔兔 经历人性的美丽与恐怖 ,4
首映后全场起立鼓掌 两个多小时笑声就没停过 风格太塔导了 片子以一个小男孩的角度 用诙谐欢快的方式来讲述二战时期纳粹与犹太人的故事 从小朋友的视角来看世界上的偏见与歧视显得尤为讽刺 你可能觉得有些情节很可笑 笑过之后却意识到这就是现实 ,4
影片以儿童视角切入二战以及纳粹题材 并以略童话 恶搞喜剧的方式处理 难怪有不少人会提起 美丽人生  当然 也不一样 影片其实非常塔伊加 维迪提的风格 才会在这样一个严肃题材如此的胡闹与肆意疯癫 表面是恶搞喜剧 骨子里却又是伤感的 故事并不深 重要的还是孩子的视点很容易让大众共鸣吧 几个配角表现其实更出色 斯嘉丽 约翰逊的服装和发型都美呆了 完全看不够 山姆 洛克威尔则用仅有的几场戏证明着自己的表演才华 属于整体很娱乐 却又暗暗伤感的电影 也是因为这种元素混搭 才会让观众在看完后的情绪会非常复杂 很难用好笑抑或感动的单一情绪来描述 虽然 我一直不是特别能领悟导演的笑点 另外 这片配乐才是亮点啊 各种经典摇滚乐 太舒服了 ,4
以儿童 喜剧的角度来讲二战和德国人 犹太人的渊源很令人耳目一新 加上导演本人演希特勒和儿童对话的形式更是笑点频出 讨喜之余不忘用寡姐和山姆叔叔各自煽了个大情 该有泪点的时刻一击即中 台词智慧绵密 片子本身质量过硬 起承转合流畅无比 颁奖季目测有奖 ,4
每年都会有美国影评人与观众评价出现重大分歧的电影 比如 绿皮书 和 小丑  我也很容易站在双方的角度理解各自的观感 但是这一部明显很平庸的作品恕我不能理解观众为何会喜欢 战争的残酷 苦难和荒诞当然可以用喜剧来消解和反讽 但本片做得非常拧巴 比如一开场用Beatles的歌制造反差实在让我心理不适 不是不能用摇滚 而是选歌不对 再比如盖世太保跑来不断致意的桥段并不好笑 只觉得导演处理方式很蠢 还有乔乔假想的希特勒不断跳出来尤其让我感到聒噪 另外片名里的 兔子 在后半段台词中完全消失了 我本以为是要人兔合体的异想世界呢 ,2
历史的反派是出产黑色幽默的宝矿 荒诞滑稽的台词反讽极端邪恶 轻快的节奏下布局有力的最重音 俏皮童趣和严肃现实来回切换 哭哭笑笑的让人说不出基调是欢愉的还是悲伤的 妈妈和Captain K等正面人物的设置很重要 内核其实和所有二战片相同 要有希望 相信正义会最终胜利,5
在童话里面 这就是最好的那一卦了 这样还说 立意低  还神马 比较低级的左派作风  真不知道像您如此高级的人类 还是不是一撇一捺了 有些写影评的 使劲使得差点没把眼珠子憋出来 ,5
TIFF 19  3  孩子眼中的世界 笑过后又觉得有些感伤 历史可笑 当下却仍在重复 ,5
要花三星期接受祖父不是金发碧眼 沉迷于万字而努力证明自己是狂热分子的乔乔 拥有四个睾丸和吃着独角兽的希特勒 陷入莫名的墨西哥僵局 以及带眼睛的屋顶 一遍遍重复的 希特勒万岁  一切都嘲讽的如此可爱又到位 哭笑不得 今年颁奖季的意外惊喜 2019 月升王国 x 阳光小美女 x 美丽人生 x 无耻混蛋  韦斯 安德森式戏谑浪漫 最悲伤的喜剧莫过于此  外面危险吗 非常危险   如果自由了 你要做的第一件事就是跳舞  帮妈妈和因加系鞋带 是这个异想世界最真实的两道弧光  今天 尽力而为吧  没有什么是一成不变的 活着就是正义 ,5
从小孩视角放进纳粹无理性狂欢并不稀奇 但是导演本人出演的希特勒是最出彩的最具waititi作者性的 从一开始精神领袖到后来在jojo饥寒交迫时享受饕餮的分歧 在贡献笑料的同时表现的是jojo对于纳粹身份的自省和反思 片中可以看出Waititi在美学调度上的进化 玩弄景框内的元素 像是妈妈的鞋 和屋顶的眼睛 值得一提的是 jojo经常出现在框内 虽然故事中Elsa被困在墙里不见天日 但是jojo才是那个被框在体制内的人 剧本质量非常不错 有荒诞幽默也有措不及防的悲伤 Scarlett Johansson和Sam Rockwell各自都有不少高光戏  nouveau cinema ,4
