comments,star
中国广袤的农村 老人 一个如此有潜力的题材 终于被靠谱的团队发掘了 事实证明 如果拍得好 比城里的年轻人相爱相杀有趣多了 说土酷侦探 不过是连葫芦案都断不了的葫芦僧 说哼哈二将 一路闹的笑话都快把本钱赔光了 但在木讷 寡言 逆来顺受的背后 男主角超英的有血有肉 令多少聪明的中国人汗颜 坚决赎回将被杀戮的老马 是为良善 誓要追凶并承担所有医药费 是为侠义 为死去的亲人翻修房子 是为承诺 让金鱼在天花板上游来游去 是为浪漫 你看看 如此一来 连超英的名字都像是 超级英雄 的缩写了 ,4
谁能想到将好莱坞烂仔帮与英格兰憨豆式喜剧元素移植到我国农村 会产生如此奇妙的化学效果 稚嫩粗糙 但挡不住生机勃勃 短短九十分钟片长 包袱抖落的干净利落 人物形象鲜活不扁平 既笑料十足 又温情四溢 还能对城乡差距 阶级对立 警民关系等社会议题进行恰到好处的讽刺 演员迟钝笨拙的表演更有一种杜蒙式饶有趣味的怪鸡感 就凭这本土化能力 导演前途无量 ,4
导演有拍类型片前途 一个闷油瓶加一个不省心的角色搭配 很有趣 最打动我的是卖马的情节 是人物性格的特别反映 ,4
冠以土法炼钢式的破案模式 经典推理桥段无缝嵌入乡村现状 点到为止的社会问题透过表象的黑色幽默照进现实  城乡差距 青年流向城镇 乡村凋敝引发的空巢现象 个人关于道德伦理和法律秩序的天人交战 剧本写得相当缜密 在不乏戏剧化走向的情节中紧密箍扎细节注脚 如联系不上的离乡女儿 如对马的功能性利用和建构人物情感的功能  作为处女作即能编导如此实属不易 素人演员独有的稚拙反向彰显冷面幽默 土味双侦探简直太可爱 尤其占义一角太圈粉 契合文本的喜剧风格 导演映后说 喜欢一些失衡的东西  非常认同 我最喜欢的三个片段正是这种略略失衡的宕开一笔  树河醒来前关于西瓜的梦 屋顶游动的金鱼 以及结尾三人走进明亮的翠绿的树林 生活的乐与苦 得与失 美和诗意 都在不动声色的罅隙闪现 ,4
太可爱了 特别杜蒙 本土版的 小孩子 和 宽宽和非人类  一样的怪诞黑色 不一样的风情文化 笑料抖自然 抛开双侦探喜剧的外衣 实则更是对中国人情世故社会的全景观展现 美团和饿了么同时出现的那一瞬间 顿时想到快手上的那些视频 粗糙但真实 土味但生动 真是存在即完美 ,4
有幸提前观影了 真有意思 推荐大家到时候去电影院好好感受一下 你会觉得生活中或烦恼或欢乐的小事 事后想起来都是幸福的 ,5
最好笑的是结尾被强加上去的那行字幕,3
 心迷宫 后又一部乡土黑色喜剧 结尾却看的悲从中来 太惊喜了 这样的题材 从任何层面来讲都值得更多鼓励 全素人演出也让流量靠边站 真正好的电影是靠作品本身来说话的 年度华语十佳提上日程 ,4
或许是目前为止最喜欢的一部FIRST主竞赛 在不剥削乡土的情况下 完成了侦探类型的平原变体 正面拍摄 平行剪辑乃至不同介质的影像 都在业余演员的举手投足之间 自然地融入了影片的整体语境之中 ,4
冲着导演父子的真诚多加一星,5
不故作高深 也没有强行高级 而是让人看到了一种罕见的纯真与质朴 并为之感动 在荒诞戏谑的表象之下 折射的是这个世道的冷漠悲凉 但那些令人无奈的冷漠悲凉 最后还是被三位主演令人钦佩的仁义和坦荡给消融 作为一部处女作 在极低的成本下 导演徐磊却有极高的场面掌控力 午夜奔马 屋顶养鱼几场戏都体现了相当浪漫的想象力 而几位非职业演员的表现 则是有目共睹的传神 ,4
真好啊 屋顶上游动的金鱼 沟渠里漂走的西瓜 纵马赴约的深夜  这些黄土地上自然生长的诗意 ,4
