comments,star
9012年了王大陆还在用嘴演戏,3
好饭不怕晚 青春年少和终期将至的反差制造泪点 羞涩心事和脱线友情制造笑点 起点为实现死党私人隐秘的梦想 但终点还是落在友情这个人类大命题上 普世的情感价值才能引起共鸣 彭昱畅 王大陆和魏大勋三个国民好感度超高的年轻人合在一起更是赏心悦目 尤其是彭昱畅 这种轻体量喜剧对于这位年轻影帝候选人已经信手拈来 毫无压力 就算为了他这个又萌又丧又有些沙雕的角色走进影院也值了 ,4
笑的很痛快 哭的很彻底 关于男生荷尔蒙的那些事儿 一个小愿望讲了一个大成长 时间段放在2000年左右 灌篮高手的bgm一出燃到心坎里 人生能有几个好朋友是一辈子的财富 结尾彩蛋妥帖又温柔 ,4
彭彭躺着 某个帅的角度想起了权游布兰手动捂脸表情 仅靠眼神和脖子的演出就值两颗星 即使听说被删减了很多戏份 怪不得感觉好怪笑完好空虚 听到彭彭绝望地被拼出一句我想 谈恋爱 观众都软了 已经发出去的一半笑声另一半落下去 有种被当傻仔受骗的感觉手动捂脸表情 是谈恋爱 听到了知道了 一点也没想歪 无欲无求 阿弥陀佛 善你个哉 中国孩子太难了 中国青年好演员太难了 年轻就应该想做多做 以少做其他没必要的无能为力的 当然姿势千万种 安全第一条 事前做好措施最重要 可别乱生孩子别作孽 那个恶心的田羽生怎么还不死呢 ,3
挺好的 彭彭演的好 干裂嘴唇让人心疼 ,3
无论破处还是谈恋爱 本质上还是一部性喜剧 性别 有色笑话和直男视角撑起了全片 只能说因为主角是对情欲懵懵懂懂的少年 相比于 前任 也就没有那么油腻 彭昱畅和魏大勋救了这部电影 ,3
韩版 我想做爱 变成了中国版 我想谈恋爱  很可惜 唯一进步的是 愿望 提升到了三重意义 第一层是表面的 我想谈恋 做 爱  第二层是他人视角的 想帮我完成愿望的愿望  第三层是成全他人 想帮我完成愿望的愿望 的愿望 ,3
相比价值观混乱 刻意潦草 笑点低俗 演员装嫩 恶意煽情等等来说 导演的审美低廉和谜之滤镜调色更胜一筹 ,2
还不错的 净化版的性喜剧 桥段都是套路 但也很好笑 沙雕二人组负责卖傻 彭彭躺床上示范演技 结尾很明显的一顿猛煽情 哭不哭就就见仁见智了,3
彭彭很真诚 但电影很不好看 翻拍把原版优点都摈弃掉 加入的改编又画蛇添足 那翻拍还有什么意义 ,2
你知道那两个字是啥 他知道那两个字是啥 他知道你知道那两个字是啥 但是他就是不让你说那两个字是啥 用化妆制造笑点 剪球鞋制造燃点 写留言制造泪点 炒话题制造卖点 兄弟感情只有一张合照 既无叙事动力也无法感同身受 愿性不再代表肮脏 女人不再拿来消费 不要用合照黑白化去冒犯逝去的人 ,1
奔着轻性喜剧来看的 结果有点失望 中秋公映版基本是 学好 归来 台词破处都改成了谈恋爱 还有一段重拍的 整体中规中矩 节奏温吞 毫无兴奋点 最重要的还是剧本不落地这个问题依然没解决 地基没打好 人物就立不住 人物立不住 就没法产生共情 以及导演惯常的偷懒和几乎没有进步的小聪明就不吐槽了 就目前的语境下来讲 这个片子做为暑期档种子选手就有点差强人意了 4 7 10,2
青春片的优秀作品 从男生荷尔蒙的春心萌动开始讲成长那些事儿还挺有心意 虽然想谈恋爱但彭昱畅就是有本事让你觉得毫不猥琐 一些小的反转桥段老套但依然嘿嘿带观众大笑 观影过程极其舒服流畅 节奏还是相当不错的 ,4
兄弟想谈恋爱 所以就叫老同学 叫亲姐帮他完成心愿  司马缸什么都愿意为你做 所以你就叫她去做兄弟的女朋友  徐浩利用别人对他的喜欢 张正阳居然还说他太帅了  对对对 只有你们的兄弟是人 其它人就不是人  为了兄弟 他们什么都可以做 甚至可以是不道德的事 你们对 兄弟 是不是有什么误解  他是病人 所以什么都要顺着他 你弱你有理  殊不知 最不歧视病人的行为 就是不把他当成病人 让他觉得自己和其它人是一样的  以前司马缸胖的时候 徐浩各种嘲笑她 司马缸变瘦了 他又要她做自己的女朋友了  哪有电影拿胖瘦 外貌做笑点的  司马缸这个名字也充满了歧视  这不叫幽默 这叫人身攻击  作为一部反歧视的电影 却存在着另一种歧视  你拍的就是边缘人群 你还去嘲笑边缘人群 还把它作为一个笑点 真是又当又立 ,1
彭昱畅演技是真的好 生无可恋的状态演出来了 哭起来真的是要人命 大勋花真的好可爱好好笑啊 王大陆张大嘴巴真的感觉要吃人啊 太尬了  大勋花可以是男一的 结局强行鸡汤煽情 太无聊了 想看未删减版 ,2
韩国原版好好的性喜剧 啥都可以说啥都可以谈 你拿过来 也不敢拍也不能拍也不敢说也不能说 你说你图个啥 图你就有勇气 图你不洗澡 ,2
