comments,star
国产导演要尽力拍一些有深度的电影 ,2
小岳岳说自己在电影圈不能再拍烂片了 但很不幸 这又是个烂片 当然不能全怪岳岳  囧 系列编剧束焕首度联合执导的该片 更像是部德云社电影 一部比流水线还流水的水货电影 剧情老套兼毫无悬念 叙事散乱 一味用类似 疯狂的石头 式 阴差阳错式的乌龙喜剧笑料 闹哄哄的  最忍受不了的是服化道 非常糊弄人 甚至用块纸皮涂上金黄色就当屋檐了 制作相当地粗制滥造   ,2
一人血书佟丽娅接戏挑剧本 挑男主  岳云鹏别糟蹋电影了  好好说相声吧  如果他说的那个叫相声的话,1
开心麻花后继有人 虽然沙雕 能笑出来也有点价值 总比又傻又烂到看不下去强,3
1  爸爸 你死了我就绝后了   不是生煎中心 是心中无尘   我炸死你个龟孙   2 开始觉得违和不入戏有点扯 看到最后觉得还不错 真香  3 张小敬成黑帮遭惨死 何监扮警长贩烟土 横批 上海十二时辰  4 佟丽娅有点仙有点美 什么 撒币了 ,3
除了美术和摄影 其他都是灾难 ,2
这是个啥玩意儿啊 束焕的小品集锦让小岳岳又演一遍 一个编剧改当导演 剧本这么傻逼 真服了 段子全靠极为低级的巧合 审美趣味low爆 美术那叫一个廉价 全他么的现代印刷字体 ,2
岳云鹏真心是票房毒药 我原以为他痛改前非了结果是我想多了 我劝小岳岳您多提升一下演技吧 别一直以卖惨卖无辜为演技,2
合格的商业喜剧片,3
托上海电影节的福提前看了 鼠胆英雄   丫丫太美了 小岳岳演技可以  影片中包袱不少 确实能逗乐观众 就笑一笑吧 剧情一般,3
作为类型片的完成度比预期高 大部分笑点都不尬就挺难得 几段默片风格的调配是最大亮点 尤其前半段身份反差形成后 喜剧包袱一路快节奏抖开体验愉快  中段转到感情戏 就掩不住剧情 核 还是个狗血的绝症误会了 哪怕佟丽娅颜值天仙也显得无聊 往后逐渐套路逐渐流俗 两次反转实在没半点新奇  五彩斑斓的用色其实很容易玩脱 好在这里并不违和 两位主演戏外形象对角色塑造有所弥补 但也很难突破自我 ,3
没抱什么希望 居然觉得还可以 看下去了 荒诞的喜感 其实不要戴着相声演员就不行的偏见 我觉得小岳岳表现不错 丫丫虽美 但喜剧演起来也顺眼不做作 只遗憾的不是原创 咱就这个分了,3
花瓶 舔狗 毫无内涵,2
意外的还可以 并且很好笑,3
尴尬可能是小岳岳在荧幕上的定性标签 可惜了佟丽娅 无论现实还是作品 ,2
这就是给相声拍了一个MTV 没有想象中那么烂 还能凑合看 ,3
今儿个心情好 勉强两星 适合蹲大号看 ,2
虽然不怎么好 起码也比郭德纲拍得强 郭老师 喜剧电影和相声一样 最重要是搞笑啊 要是不搞笑 那就太搞笑了啊 ,2
可以一看 画面摄影做的不错 剧情还差点意思 台词和表演没有几个专业的 有的像舞台剧 有的台词表达不清楚 有的地方节奏慢了 有几个场景做的还不错 可圈可点吧 下次努力 原本抱着挺大期待的 说实话还是失望了  后补 原来构想还是抄袭美国片啊   那要减掉一星   国产电影真的 我没话说了 好的构想好的编剧都被审查自我审查阉割了吗      ,2
岳云鹏如果真想改变大家对他出演的影视作品的看法 出演恶搞喜剧显然是不行的 尤其是 这种又臭又长的东西 太无聊了 佟丽娅的花瓶角色 也确实有些作践自己 唉 ,1
平常在电影院看爱情片到吻戏的时候 大家喊的都是 快快快  到了这部 所有人都在喊 别别别  ,1
wow 佟丽娅居然         ,3
这种东西以后就别上大银幕了,1
为了1万块的安家费 他愿意主动去送死  警察的抚恤金更高 于是他又去当警察了  明明最想死的人是他 结果绑架犯把别人打死了  一个人要活得多失败 才会觉得自己唯一的价值就是去死  一个人要活得多失败 才会觉得没有死是一件很遗憾的事  原本这个创意挺好的 可是拍得太差了  闫大海每次都去送死 结果每次都死不了 每次都阴差阳错地 制服 了对方 第一次 第二次觉得有趣 每次都这样就太刻意了  杀手的手枪走火 大螃蟹喝醉了 毒仙自己把自己打到了 枪神被谋杀亲夫  这些死法都太蠢了 很侮辱观众智商  爱情线又双叒叕是美女爱上屌丝的老掉牙剧情 又双叒叕是A身患绝症却不告诉B 而是忍痛离开B 没想到9012年了还能看到这种狗血桥段  佟丽娅真没必要接这种电影败坏自己名声 应该去迪士尼试镜 小美人鱼  ,1
岳云鹏你就不能老老实实说你的相声吗 ,1
既有掩面窃喜 也有哄堂大笑 更有能笑出腹肌的抽搐 不变的 德云一哥  不变的 老郭风格  而变化的是 讲述了一个完整的故事 有笑点 也有泪点 更有励志治愈 不断反转的剧情 走出相声套路 成就了 情怀喜剧 的风格 在这部影片中 岳云鹏不仅会说相声 影视表演也开了窍 佟丽娅不仅美美哒 在喜剧中的表现也很称职 不得不说的是 导演有效的把控 将主演非常个性化喜剧演出 牢牢地归顺在故事框架之内 袁弘 韩童生 雷佳音等专业演员加盟 为影片质量基础保障 暑期档之黑马 ,5
基本可以这么说 这是迄今为止岳云鹏为主角的电影中最好看的一部 ,4
自己装傻子就行了 不要把观众当傻子好吗,1
束焕的崛起 证明了影视市场的荒谬与无能 束焕唯一一部还算可以的作品是徐峥的 泰囧  后续烂片无数 这种货色还有人给他五百万一部戏的编剧费 不怪束焕 怪投资人二逼 活该倾家荡产 ,1
一 给嫩嫩的佟丽娅妞妞           ,1
过于揉杂的配色 有点眩晕的镜头 过于浮夸的演技 过于硬伤的演技 如果不是奔着映后有主创见面会 然而却没有来这个厅  佟丽娅确实挺好看的 岳云鹏确实挺好笑的,1
刚看过 烂片一部  佟丽娅表现还可以 岳云鹏全程尬演 演电影真的不适合你 还是说相声吧,1
 鼠胆英雄 闫大海这个角色是为小岳岳量身定做的吧 跟他本人一样的好玩有趣 天生长在笑点上  丫丫真的好美好瘦 让人舒服没有攻击性的美 笑起来有沐浴春风的感觉  我笑点很低 一直哈哈哈大笑 喜剧嘛 开心就好 ,4
 鼠胆英雄 再次感谢盗梦观影团又提前看了片 还捕捉到小岳岳 鼠辈小人物阴差阳错的成了英雄 速速求死而不得 有泪有笑有情有义的圆满了一场 给小岳岳量身打造的剧本 一脸坏笑贱嗖嗖的一身笑点 佟丽娅真女神 漂亮 又瘦又美  小岳岳真人没那么胖 嘴皮子够逗 还给现场撩肚子看 诚恳的让大家关注演技打分 可惜没有高歌一曲五环之歌哈哈哈哈  不尬的喜剧 好多熟悉的客串明星 时不时就能被逗笑 值得推荐在夏日里嗨皮一下,4
佟丽娅太美了  之前怎么没有发现 美到眩晕 是一种有灵魂的美 ,5
看来相声还是没电影好赚钱呐,1
求求岳云鹏 别糟蹋电影了 ,1
合格的减压喜剧 笑料够多 画面也够精致 但也没啥太大突破,3
佟丽娅真好看  ,5
真的笑不出来,1
片名 海报 导演 阵容一出 是不是烂片便   不离十 几乎不会冤枉谁 该片也遵循这个铁律 之所以还会走进影院找不痛快 是因为喜欢被岳云鹏逗笑 他客串过不少角色 只当绿叶的时候是一个不荤不素的看点 可当他装疯卖傻的大脑袋充斥整个银幕 味儿就不对了 相声 小品不能当电影卖啊 何况还要搭上一专业户的蔡明 由于情节是架空的 作为主演的小岳岳不能全程只靠耍宝 卖萌死撑到底 他还得克制 完成一个主演该做的 结果就是拧巴着 一点也不好笑   日本反派角色竟然给安了个 哲寿 的中文名 可劲儿埋汰吧 丫丫不但好看 而且可爱 ,1
还尼玛在重复 惊不惊喜意不意外  但凡乐此不疲重复老梗烂梗 都是没有创作力的体现 果然 有人指出它抄袭 猛警恶匪  错位与反差这一喜剧核心照搬 只能一星了 男导演们 啥时候能尊重一下女性 别这么猥琐油腻 没能力还想硬撑起牌坊 何必呢 ,1
岳云鹏什么时候能和他师傅一起不再祸害国产电影呢 老套又刻意的笑点 做作又尴尬的演技 能看的大概只有丫丫的颜了 ,1
合格的商业喜剧 笑料十足 佟丽娅饰演的青楼女子太惊艳了 小岳岳这个走了狗屎运的河南废柴竟然在青龙帮和警察局里混的如鱼得水 还抱得美人归 上哪说理去 有几处模仿默片的拍摄手法太好玩了 PS 蔡明比柳岩大 ,3
小岳岳主演的又一部沙雕喜剧片 虽说可以算是小岳岳主演的比较好的片子了 但是整体上还是挺烂的 笑点是不少 但是都很刻意又弱 智 最致命的还是剧情 编剧又双叒叕一次没长脑子 为了制造笑点想怎么编就怎么编 完全不管其中的逻辑 前言不搭后语的 看的很是懵逼 整部片子就是一部闹剧 但是唯一一点值得一提的就是女主角算是找对了 完全是靠丫丫的颜值撑到了最后 但是抄袭剧还是不能忍 看在丫丫的表演上 多给一星吧 ,2
首先感谢盗梦观影团提供的超前观影的机会 刚刚开始看的时候 一些不习惯 无时无刻的反转与到处都是的笑点 连煽情时刻也会让你泪中带笑 但是不一会便习惯了电影的快节奏 你也会跟着大家开怀大笑  演员们的表演都很精彩 水下戏很多很唯美 小岳岳的人物的成长与改变贯穿着整个电影 搞笑的同时也带来思考 观影前就知道佟丽娅很美 可还是被电影里的光影美人鱼惊艳到 佟丽娅的演技也出色 电影里的杜卿不同于丫丫以往的大美人角色 接地气 贪财 泼辣和可爱 最后 片尾曲好好听 这是一部很优秀的喜剧片 ,5
小岳岳目前为止最棒的电影啦 佟丽娅角色依然是女神 小岳岳演技确实真的很赞 仔细看这部电影 你会发现他眼神和嘴角都是戏的 包括眼袋都是戏啊 之前的电影确实是他没遇到好剧本 这里岳云鹏演一个逆袭小人物 刻画得还是很出神入化的 和他本人气质也比较接近 棒棒哒 映后见到了小岳岳和丫丫 小岳岳变瘦啦 ,4
至少和岳云鹏以前的作品比较 作为喜剧这一次电影终于不再是用简单的尬戏来博人眼球了 起码能让人看的舒服点儿 不过电影的优点也就止步于此了 为了喜剧效果而强行脱离逻辑的剧情 缺乏说服力的转折 国产喜剧固有的硬伤 这电影一个都没有解决 所以我们从来都不缺串场的明星熟脸 从来都不缺营造光影效果的经费 只是缺一个能把故事讲好的人 ,3
去看了北京场首映 提问环节 我第一句话就是说  岳岳这个可能是我唯一和你说话的机会了 你演得最好的就是追着车 喊着燕子的那个角色 这个排第二 真情流露的时候都会特别好 你以后好好演戏 会越来越好   因为爱岳岳 所以可能不客观 电影后半段剧情有些崩了 煽情也刻意 逻辑也不通顺 但是只是一小部分 而且是演员努力也解决不了的硬伤 从整体来看是一个合格的喜剧电影 是值得去看的 ,5
物料太傻了 成片比预期好 有点李翰祥味道了 ,4
三星都给丫丫 ,3
好编剧     好摄影 可不一定   好导演 ,3
鼠胆英雄 推荐度 一般推荐 最高为强烈推荐  所值票价 五折原价 最高为原价 一部在各种夸张的巧合之下 屌丝逆袭的故事 一个在现实中不可能发生的 意淫梦想成真的电影 还别说 在现在这浮于表面 无梦能够实现的社会里 人们还真喜欢这种故事 岳云鹏配佟丽娅 真是美女配野兽 屌丝配高富美 电影中大牌明星演员甘当配角 看来郭德纲在圈内的人缘还是不错的 喜剧点很多 也很简单易懂 么有什么内涵  闲着没事去看看笑一笑也还行 个人建议 仅供参考,3
哪次碰到这种预定烂片时 总会有一种声音对你说 没看过怎么能说是烂片  而每当此时 我脑中总是浮现出春晚小品 功夫 的一个场景 范伟躲过赵本山及其徒弟的连环计之后 对赵本山说 给你钱我就上当了   那个五分高赞是认真的吗 100分钟 53次笑声 这种无聊统计怎么感觉跟开X会时 统计掌声数有得一拼 ,1
不要怂 就是干  这部影片我觉得是岳云鹏从影生涯迄今为止演技最好的一部 怪不得岳云鹏凭借此片获得今年的电影频道最受传媒关注单元最佳男主角 之前以为有水分 看完这部电影才知道 岳云鹏名副其实 ,5
见岳 烂片 预订 这是我想看前说的 以后看到岳主演的 直接跳过 ,1
 鼠胆英雄  在岳云鹏演的电影里 这一部算是不那么让人讨厌的 片中小岳岳成了香饽饽 没真本事却平步青云 立了功却又不自知 构成一个表面化但够搞笑的角色 它的笑点会带来意外感 而且大多是小品式的 比如写着 不要脸 的大锣 蔡明和佟丽娅的决斗等 新鲜的是 漫天撒钱也能成救人手段   ,2
60 100 艺术指导出人意料的精良 也有相声的 听 转换成视觉的设计 虽然整体上是老掉牙的样板戏 但在一堆密不透风的意识形态作品里 相声那帮人 百无禁忌 的气质还是有点意思的 ,3
三星给佟丽娅是真美 故事是真老套又尬 为什么不能雷佳音佟丽娅组合一直延续 只要不是太多部 故事不一样 观众不会审美疲劳 产生的爆炸效果更佳 全片都很尬 配角要么没头没尾 要么强行反派 所有人都在努力制造喜剧 做作不真实 编剧越老越不会编了 没有墨水还要当导演  ,3
1 佟丽娅为什么要接这么个角色 宁愿她只是一个电视咖也不希望接这种角色  2 可是这种电影还是有一定存在理由的 每年暑假档总有一个屌丝yy女神的故事 梦想总是要有的 所以我跟罗南小姐姐还有希望 ,1
这不还是烂片吗 ,1
挺搞笑的 ,3
