comments,star
钟振江故意抽烟熏悠悠 反而假装成悠悠的救命恩人  他骗了别人40万 却对吴海说一分钱都没骗到  今天他可以骗别人 明天也可以骗你  他碰瓷 骗保 挪用公款 却说岳淼淼骗了很多人的钱 该死  没有谁该死 他只是为自己心安理得骗保制造一个借口  吴海吃霸王餐让岳淼淼付钱 把她撞伤了就跑了  岳淼淼竟然还给他第二次机会 甚至和她结婚  果然 她练习吃辣椒送他电动滑板车 为悠悠买空气净化器 换来的却是一场骗局  到最后 她还是愿意不再做主播 找一份正当工作帮他养儿子 等他出狱  她不生气 不出轨 不改嫁 没有任何缺点  岳淼淼是十全十美的好人 钟振江是十恶不赦的坏人 脸谱化太严重  要么善良到极点 要么丑恶到极点 没有中间地带  这个计划最大的漏洞就是是吴海和岳淼淼结婚 要是是钟振江和她结婚 早就杀人成功了 ,3
喜剧的皮 宁浩的骨 申奥是支潜力股 长江的水 柳岩的美 大鹏戏好皮肤黑 以为是个喜剧片 比爱情片还感人催泪 以为是个爱情片 比喜剧片还诙谐机巧 笑着流泪 明天更好 ,5
我为什么觉得演技和剧情都很尴尬 ,1
老实人又开始幻想妖艳贱货们会被自己的 对她好 轻易打动 洗净铅华给自己洗衣做饭带孩子了 柳岩此生到底还要完成多少次男人们的救风尘梦哦,2
这世界根本不会有岳淼淼这么单纯的老少女 ,3
3 5 使用柳岩的正确方法示例,3
谁能想到我能为柳岩的演技两次落泪 卸妆那一幕 小狐仙和柳岩已经分不清谁是谁了 与其说是表演 不如说是在诉说自己 观影结束后查了下 柳岩确实是38岁 希望她能遇见真心待她的那个人吧 导演对柳岩下手太狠了 泳池那一幕 总觉得是寓意着什么 这一次大鹏不似煎饼侠那般彰显自己 反而是成就了柳岩 希望这部电影对柳岩是种释然 也是种祝福吧 ,4
孔雀布背景遮住的是寒窑 钻石湾空瓶装着的是空气 骗我说不吃辣椒 芳龄二四 上车就睡觉 命里最怕水 骗你说表是真的 蜜月旅行 我愿意娶你 我只在乎你 读爱情鸡汤的女孩 却最能参透爱情真谛 找菩萨还愿的信徒 竟然能遭遇意外真心 网吧射灯下 寒窑可以是家 空气可以是梦 意外可以是爱情 ,3
没有疯狂的石头那种现实批判力 也没有疯狂的外星人那种癫狂隐喻的劲头 有佳句无佳章 虽然有贴近现实的勇气 但还是缺乏在关键时刻临门一脚舍我其谁的胆色 一切都差点意思 一场低产阶级的逃亡 最终还是无法胜利 一个是淼淼 一个是大海 都是水 结尾都随了水 也算了愿吧 ,3
3 7星 大鹏柳岩的双份华彩 请抛开对二人的刻板偏见看戏 不要重蹈 缝纫机乐队 的覆辙 1 剧本65分 无大反转的诸多巧合组成的黑色幽默风格 2 演员表演80分  小孩很灵 大鹏开场就是高分演出 他和柳岩各有一段戏可以入围华语电影2019年度瞬间 大鹏看电视 柳岩卸妆独白 尤其柳岩那段 非常真诚 非常 我甚至能从角色联系到柳岩本人的人生遭遇 我几乎差点想用 人戏合一 来形容这段演出 柳岩入戏了 她的脸回来了 3 因为那两段演出 很少被爱情戏打动的我有起鸡皮疙瘩 4 最后行车记录仪的运用不错 有一种客观冷眼看透一切的feel 让人想起 大佛普拉斯  5 片尾稍弱 收的有点小遗憾 ,4
