comments,star
看了半小时 烂到天际 希望大家看到我这条评论 能够及时退出 节省自己的时间,1
 大赢家  你以为这是在玩真人版反恐精英 以 认真你就输了 嗤之以鼻 但在 傻子 看来 这是必须要认真对待的事 即使其他人都心不在焉 错位营造出的拧巴极具喜感 可拧着拧着价值观就 正 过来了 反常规反套路的闹剧 既对形式主义极尽讽刺 也让小人物们得以治愈 它还能让你笑出鹅叫 光是人质身上的牌子就能笑点爆破     ,4
这个故事在中国当下的创作语境下 呈现出了最好的样子 更轻松的设定 更温暖的主题 还有那些无处不在的笑点 就像影片中的火锅 量大份足 好吃管够 大鹏在喜剧领域的边界 又被他很 严谨 的拓展了一步 居然还有德云社孟鹤堂 一脸油腻的大堂经理 诠释的挺到位 ,4
对手是 囧妈  它是大赢家 ,3
一分钟就看出是翻拍韩国电影,3
这世道 大多数人都活得轻省而浮躁 相反 认真的人不讨喜 严谨的事不受理 电影呈现一个小人物身上的 轴  即使是演习 也有种韧劲儿 这或许是现代人所缺失的东西 PS 那一排特警肌肉小哥我都太可了 ,3
改编自都井邦彦 游戏的时间不会结束  不清楚原著故事如何 看一些细节处理和喜剧梗都与韩版无异 只是把主人公身份从警察换成了银行职员 Ps 与 受益人 大鹏 刘岩 张子贤同一个卡司 原著的电影化顺序为 日本版 永不结束的游戏  1991  韩国版 率性而活  2007  中国版 大赢家  2020  ,3
在这个时候看到大鹏的电影真的很舒坦 下午看了云观影的提前场 整个人轻松愉悦 满身满脑的压力随着片子全部清空 有趣的情节加上有梗的演员 出人意料的故事加上惊喜客串 它是踏踏实实属于这个周末夜晚的喜剧 很高兴能如此轻松地笑出来 沙雕又认真 搞笑又有戏 值得再看一遍 ,5
张子贤演的太好了 虽然 牺牲了 ,5
很难相信这是孟鹤堂第一部电影 纯熟出彩 一气呵成 ,3
 让lingdao先死  3 5星 原版剧本很厉害 但翻拍不是原罪 区域化革新才是可取之处 因为这是华语片中少见的正面描写抢银行的过程 而且是 反派 胜利 更点出了形式主义和得过且过的风气 在受限的环境下挺讽刺挺大胆 错位喜剧的反差效果配合脱力幽默 强X戏那段最搞笑 第三幕斯德哥尔摩式转折突兀 结尾正能量来得也过于突然 电影值三星 退一步 喜剧片以视频播放的形式折损率不高 能看个乐 打发时间可以 比那什么强 加分,4
挺好看的 影片多余镜头很少基本全程都在演习之中 人物设定也蛮有意思 女警察很漂亮,4
虽然说是翻拍的 但是确实不错 喜剧外壳下的人性 大鹏老师还是有进步 ,5
银行职员和警方一起演习抢银行  刚开始所有人都没当回事 但是职员严谨特别认真 最后警方和职员还有客户都认真地完成了演习 好有意思的题材 ,4
不错不错   于海娇喜欢严谨看出来了 但是她也是帮凶倒很意外   录制的视频说的那些事情其实都是误会也让我意外还莫名有点感动 虽然一开始也在想严谨父母看上去不像会对他很冷漠那种啊   严谨趴下做俯卧撑是寓意强奸 真的是笑出声  我觉得这部戏真的挺有意义的 有很大的讽刺意味在里面 真敢拍啊 全程都替警察尴尬 太不把演习当回事儿了 演习就该认认真真 生活中我们各种演习都不太认真 就是缺少真的认真的那么一个人 PS  现在群众防范意识那么高的吗 因为一个人可疑就打电话举报啦  可怕 ,4
张子贤再提大鹏主演档喜剧 其演技越来越耐看了 不仅成功演绎了在 受益人 中的诈骗犯 这次他又被分配了正面的角色 塑造了非常丰富的人物形象 油腻中带着睿智 故事向喜剧 比起抛旧梗 很多反差梗更让人耳目一新 一场虚拟警匪对决下的人性喜剧 轻松又严肃 给我笑死了 哈哈哈 ,5
抢银行的套路不算新鲜 以演戏的方式来抢就有点意思 本该走个形式草草收尾 偏偏假装劫匪的银行职员假戏真做 万分投入 当所有人都在演戏或是看戏的时候 只有他自己最认真最严谨 鲜明的立场反差导致了荒诞的喜剧效果 从劫持人质到打击特警 越来越入戏 也越来越真实 而个人的真实反而能看出很多人的不真实 大鹏本就自带喜剧感 主角叫严谨 演得也很严谨 他将劫匪的穷凶极恶透过黑色幽默的形式演绎出来 这一点既好笑 却又能引人深思 我们常说认真你就输了 但认真的严谨反倒成了最后的赢家 97分钟下来哈哈一笑似乎云淡风轻 回头再想五味杂陈 也许 这就是相对高级的幽默吧 ,4
